threshold,tp,fp,fn,tn,predicted_positives,accuracy,precision,recall,contamination,f1
0.1,3779,9951,10,5644,13730,0.4861225753198514,0.2752367079388201,0.9973607812087623,0.72476329206118,0.4314173183400879
0.11734693877551021,3768,7705,21,7890,11473,0.6014238547255468,0.32842325459775124,0.9944576405384006,0.6715767454022488,0.49377538985716146
0.1346938775510204,3763,6273,26,9322,10036,0.6750412711514652,0.37495017935432445,0.9931380311427818,0.6250498206456756,0.5443761301989151
0.1520408163265306,3760,5431,29,10164,9191,0.7183243912505158,0.4090958546404091,0.9923462655054104,0.5909041453595909,0.5793528505392913
0.16938775510204082,3756,4920,33,10675,8676,0.7444799834915394,0.43291839557399725,0.9912905779889153,0.5670816044260027,0.602647412755716
0.18673469387755104,3755,4566,34,11029,8321,0.7626908790755262,0.4512678764571566,0.9910266561097915,0.5487321235428434,0.620148637489678
0.20408163265306123,3755,4295,34,11300,8050,0.7766714816343376,0.46645962732919255,0.9910266561097915,0.5335403726708075,0.6343441169017653
0.22142857142857142,3754,4098,35,11497,7852,0.7867829137432935,0.47809475292919,0.9907627342306677,0.52190524707081,0.6449617730435531
0.23877551020408164,3752,3916,37,11679,7668,0.7960689228229467,0.48930620761606675,0.9902348904724202,0.5106937923839332,0.6549707602339182
0.2561224489795918,3751,3805,38,11790,7556,0.8017437061494016,0.49642668078348334,0.9899709685932964,0.5035733192165167,0.6612604671661525
0.27346938775510204,3751,3714,38,11881,7465,0.8064382996285596,0.5024782317481581,0.9899709685932964,0.4975217682518419,0.6666074284698774
0.2908163265306123,3751,3628,38,11967,7379,0.8108749484110607,0.5083344626643177,0.9899709685932964,0.49166553733568236,0.6717406876790831
0.3081632653061225,3750,3561,39,12034,7311,0.8142798184069335,0.5129257283545343,0.9897070467141726,0.48707427164546574,0.6756756756756758
0.32551020408163267,3750,3489,39,12106,7239,0.8179942220387949,0.5180273518441774,0.9897070467141726,0.48197264815582264,0.6800870511425463
